"elementType";"token"
6;"se"
3;"mo"
2;"fi"
3;"ma"
7;"bu"
3;"me"
4;"ni"
2;"fo"
6;"sa"
6;"si"
4;"ne"
7;"bi"
1;"xx"
2;"fe"
1;"xx"
3;"mi"
4;"ne"
5;"pi"
3;"mi"
5;"pa"
6;"su"
1;"xx"
7;"ba"
7;"bi"
3;"mo"
6;"su"
7;"bo"
6;"si"
2;"fu"
2;"fu"
5;"pu"
5;"pi"
7;"ba"
2;"fa"
5;"pe"
2;"fe"
4;"no"
1;"xx"
6;"so"
6;"se"
5;"pu"
4;"nu"
6;"so"
4;"no"
3;"ma"
1;"xx"
2;"fa"
2;"fo"
1;"xx"
3;"me"
7;"be"
1;"xx"
5;"pe"
7;"bu"
5;"pa"
4;"nu"
4;"ni"
2;"fi"
7;"be"
4;"na"
7;"bo"
5;"po"
1;"xx"
3;"mu"
3;"mu"
4;"na"
1;"xx"
6;"sa"
5;"po"
1;"xx"
