"elementType";"token"
6;"sa"
3;"ma"
2;"fe"
3;"ma"
7;"bi"
3;"me"
4;"ni"
2;"fa"
6;"se"
6;"su"
4;"ne"
7;"be"
1;"xx"
2;"fi"
1;"xx"
3;"mi"
4;"ne"
5;"pi"
3;"mu"
5;"pe"
6;"su"
1;"xx"
7;"bo"
7;"bu"
3;"mu"
6;"sa"
7;"bo"
6;"si"
2;"fu"
2;"fa"
5;"pi"
5;"pu"
7;"bu"
2;"fo"
5;"po"
2;"fu"
4;"nu"
1;"xx"
6;"si"
6;"so"
5;"pu"
4;"no"
6;"se"
4;"ni"
3;"mo"
1;"xx"
2;"fi"
2;"fe"
1;"xx"
3;"me"
7;"ba"
1;"xx"
5;"po"
7;"be"
5;"pa"
4;"na"
4;"no"
2;"fo"
7;"bi"
4;"na"
7;"ba"
5;"pe"
1;"xx"
3;"mo"
3;"mi"
4;"nu"
1;"xx"
6;"so"
5;"pa"
1;"xx"
